"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.70852225756481,0.469302124813811,1.06529249191709,0.0992929317623211
"CAFFCATEHigh",2.15587217830497,1.54409233426992,2.98252846299625,4.63317808288307e-06
"CAFFCATELow",0.960723998203982,0.73779196963872,1.24630920261087,0.764275816223395
"CAFFCATEMod",1.160205646571,0.937590734828364,1.43885151982434,0.173562987388207
"RIDAGEYR",0.987899730421237,0.982807551818184,0.992984625808378,3.5883254706378e-06
"GENDRM",0.499216406175556,0.415257608359159,0.598667500333709,9.47775713994166e-14
"RIDRETH1",1.10778988620667,1.01778854506091,1.20623598314868,0.0181304486444154
"INDF",1.0084901877402,0.994850414687589,1.02057365843916,0.185791969487525
"INDH",0.99293807117696,0.980077239327138,1.00734950445107,0.303990532789895
"DMDEDUC2",0.666851932066042,0.618773929684856,0.717973312730238,1.19230547137087e-26
