"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.861943538887254,0.634444598954345,1.1685183966365,0.340235744572703
"CAFFCATEHigh",1.5110763720727,1.21652931566259,1.86862676058142,0.000161553588455048
"CAFFCATELow",0.929099992758662,0.790134176896783,1.0908020441625,0.371167312121377
"CAFFCATEMod",1.01281001463637,0.884985356199681,1.1598560731592,0.853611501405087
"RIDAGEYR",0.989313041008964,0.986140536850177,0.992482039745983,4.98201775185434e-11
"GENDRM",0.514867547505339,0.457691768736032,0.578695459857105,1.32425221117528e-28
"RIDRETH1",1.08810270046197,1.03206259980846,1.14729629830958,0.00176409987950772
"INDF",1.0008185132864,0.991541963436173,1.00991755136189,0.861899114739438
"INDH",0.998248069094066,0.988968626548111,1.00753540593522,0.71295943749289
"DMDEDUC2",0.718780109565184,0.685578618780728,0.753378907032936,7.00035778604232e-43
"SMQ020",0.54902705982878,0.485667283294007,0.620189190214861,6.9238242501601e-22
"PAQBIN",0.700522391931792,0.623886794392067,0.786018176792619,1.53400804018214e-09
"ALQBIN",0.991084221876967,0.837272756189828,1.17746078925243,0.917959257104508
