"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.394756263025649,0.20906421588724,0.735204800444383,0.00373534661060681
"CAFFQNTQ2",0.996076595410233,0.717909886939488,1.38079930500755,0.981173969556688
"CAFFQNTQ3",0.848807756602767,0.602924779451866,1.19200163026708,0.345019837805198
"CAFFQNTQ4",0.898433312474196,0.637818652605179,1.26543729862656,0.539458142464859
"RIDAGEYR",0.99476064729913,0.98830510886357,1.00118294089726,0.111458686321571
"GENDRM",0.639496789424375,0.498273911163727,0.818557499218758,0.000410001963289957
"RIDRETH1",1.15352454459287,1.03197130780241,1.29035832822011,0.0121765873255111
"INDF",0.980906935553945,0.958216678229158,1.0100091936386,0.127459502147354
"INDH",1.01127304520757,0.983533764873554,1.03118220961793,0.319106576622742
"DMDEDUC2",0.780957694691926,0.702555550636589,0.867558973279882,4.2931844882857e-06
"SMQ020",0.601905571173027,0.463193230842337,0.779623964166531,0.000130685853900392
"PAQBIN",0.472898481267124,0.368947530531519,0.604899064890653,2.8097596438359e-09
"ALQBIN",1.03995937671357,0.729431702597037,1.51012012292384,0.832484514533012
