"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.864567493735546,0.633028366236442,1.17824747229909,0.358431006489809
"CAFFQNTQ2",0.954471669230276,0.812998132669753,1.12048437107985,0.568941863898013
"CAFFQNTQ3",1.0232271476598,0.87238863067939,1.20037594931296,0.777857294353749
"CAFFQNTQ4",1.16264091264102,0.990027160546658,1.36614445817388,0.0665147109770726
"RIDAGEYR",0.989086123312452,0.9859173610928,0.992250813448902,1.832806068542e-11
"GENDRM",0.515640027942824,0.458415064560445,0.579519406211672,1.61355814612147e-28
"RIDRETH1",1.09044149481314,1.0343157576212,1.14972627051754,0.00133285901545589
"INDF",1.00095902449819,0.991680664716168,1.01005726383124,0.838492125348472
"INDH",0.998066815861036,0.988787395776087,1.00735627951104,0.684847278927627
"DMDEDUC2",0.717459879827318,0.684281815686112,0.752034925685672,3.02608829751769e-43
"SMQ020",0.544061834317734,0.481293768212098,0.614546166837687,1.60316294871752e-22
"PAQBIN",0.701821184942413,0.625089655059652,0.787419504418092,1.82029048145915e-09
"ALQBIN",0.990737560470603,0.837051918515959,1.17694948487855,0.914723942338602
