"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.401799162160585,0.207792516801551,0.766165431463719,0.00612070647780562
"CyQNT1Q2",0.987697594520696,0.703369558516928,1.397925840841,0.943576836343345
"CyQNT1Q3",0.825790885936291,0.576409037216457,1.1892265233332,0.299289741066752
"CyQNT1Q4",0.862036763276126,0.589892168404458,1.26457254309843,0.444574694751212
"RIDAGEYR",0.994850714459649,0.988403480627074,1.00126489708213,0.117259671215895
"GENDRM",0.639832660140343,0.498576070485596,0.818915950523229,0.000414595791573252
"RIDRETH1",1.1520727879977,1.03049763385799,1.28894764294891,0.0130961082824329
"INDF",0.980913979598507,0.958229614023584,1.00998814660019,0.127395807486024
"INDH",1.01124584041278,0.983536887412435,1.03115426010827,0.319958732397172
"DMDEDUC2",0.782224693780386,0.703762299204203,0.868887840050864,4.86458240089949e-06
"SMQ020",0.597134519637083,0.459479995927169,0.773505866005941,0.00010281380809075
"PAQBIN",0.472612449454162,0.368711098920126,0.604553364935107,2.74247955920623e-09
"ALQBIN",1.04541045901472,0.733410174950715,1.51771827487149,0.81042473050861
