"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.444044583716015,0.341236841036443,0.576483814331456,1.28133771494799e-09
"CyQNT1Q2",1.07496475824819,0.917812579227453,1.26149403514684,0.37279321439613
"CyQNT1Q3",1.11255556752959,0.94083531760773,1.31730325348271,0.213972232869613
"CyQNT1Q4",1.37889437831351,1.16215811677136,1.63800795263963,0.000241602065960515
"RIDAGEYR",0.991767926426783,0.988715188889355,0.994817332270269,1.3866912115859e-07
"GENDRM",0.556143231875058,0.497181739338126,0.621571091719863,6.90593894583649e-25
"RIDRETH1",1.1224339573991,1.06604259256716,1.18194895700696,1.14856374104069e-05
"INDF",1.00059949179696,0.991187629165083,1.00977318336974,0.899914072600798
"INDH",0.997858854241554,0.988489171371529,1.00727628250971,0.657287699931006
"DMDEDUC2",0.695016424754588,0.663952350104238,0.727328265672975,3.59158239701185e-55
