"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.577932477091064,0.379692139605112,0.875898195199527,0.0101061043581261
"CyQNTMQ2",1.00133541445618,0.776079314126217,1.29220308154531,0.991806172647403
"CyQNTMQ3",1.10355449707222,0.85698764877642,1.42198612544802,0.445204290392683
"CyQNTMQ4",1.4158631926495,1.10301966371135,1.82052824606719,0.00647853862469385
"RIDAGEYR",0.989260371177904,0.984206369919425,0.994301097851934,3.33585222200566e-05
"GENDRM",0.521541199989194,0.434301646534816,0.624804012552979,2.22648769376609e-12
"RIDRETH1",1.09159924752473,1.00388014521229,1.18712915124196,0.0403974144871736
"INDF",0.993088773604949,0.980404123369345,1.00640607893804,0.301904695949384
"INDH",1.00170416366063,0.988537178185857,1.01365258697404,0.790877136233393
"DMDEDUC2",0.717131325830997,0.665833041237888,0.771864376799597,1.11639121869083e-18
