"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.861511899740585,0.630683492846754,1.17428349900025,0.34712278361757
"CyQNTMQ2",0.979897784196703,0.835426335346864,1.14935207769528,0.802884567215745
"CyQNTMQ3",0.990332814827681,0.843759894400479,1.1625025849363,0.90538188690668
"CyQNTMQ4",1.1510833491837,0.980300820243709,1.35237880686053,0.0864104873150275
"RIDAGEYR",0.989189130612342,0.986023104467334,0.992351282895347,2.71532983028296e-11
"GENDRM",0.51614733446646,0.458872814770285,0.580081245039943,1.90917277215748e-28
"RIDRETH1",1.08985339705212,1.03378288733525,1.14907691225252,0.00142119188119157
"INDF",1.00098805374039,0.9917018909593,1.01009273739213,0.833801105775567
"INDH",0.998015799379071,0.988731134835396,1.00731245832911,0.677209544525537
"DMDEDUC2",0.718341609956153,0.685141554627606,0.752939009029068,5.49547108936827e-43
"SMQ020",0.541963988881201,0.47944539036471,0.612165144243776,8.56526945219779e-23
"PAQBIN",0.702070868703327,0.625288501880751,0.787729612019202,1.91247649350844e-09
"ALQBIN",0.993556993183308,0.839410571687706,1.1803314486046,0.940716706941519
