"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.948029617823793,0.58035031243712,1.5411305758539,0.830312320092449
"DRMTCAFF",1.00057702204412,1.00012564765466,1.00101223191848,0.0103748918712426
"RIDAGEYR",0.98837986630764,0.983207354643757,0.993546073008258,1.17857524688313e-05
"GENDRM",0.486396111476138,0.402219967369457,0.5868030599094,7.22605378498147e-14
"RIDRETH1",1.05745652556864,0.970858298709162,1.15178186575403,0.199876714015821
"INDF",0.993867216089411,0.981382818736913,1.00690528744977,0.349813689411737
"INDH",1.00201510550369,0.98910221485347,1.01382463736267,0.749788711954308
"DMDEDUC2",0.745488947082467,0.691100390757714,0.8036806161821,2.32472162178013e-14
"SMQ020",0.543890272404276,0.446697803999421,0.66099663535495,1.09642472949537e-09
"PAQBIN",0.939797115946102,0.778646167663713,1.13229423816543,0.515495402815489
"ALQBIN",0.871046248833735,0.662069358857002,1.15651266158759,0.331405254118182
