"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.391722460765139,0.208998896609463,0.724138616450573,0.00308925918179473
"CAFFCATEHigh",1.43087624149584,0.913309239749999,2.1995979364985,0.109156499501765
"CAFFCATELow",0.999553580285858,0.715679973906947,1.38674991480412,0.997885162654638
"CAFFCATEMod",0.82792707603738,0.618133339065033,1.10996289921201,0.205535333763466
"RIDAGEYR",0.994720687881114,0.988233966000647,1.00117473008959,0.110489605738036
"GENDRM",0.635735869620252,0.495260177457842,0.813840983100238,0.000346061894625745
"RIDRETH1",1.15039334422663,1.02901198643413,1.28705171106569,0.0140513029503902
"INDF",0.980652688246897,0.957953753343834,1.00970337410418,0.122505901267743
"INDH",1.01146153926695,0.983765370247745,1.03140251947928,0.311369421997111
"DMDEDUC2",0.777686440945176,0.699617203491676,0.863904787338689,2.93363790552248e-06
"SMQ020",0.622137012302319,0.478379171213774,0.806590342667055,0.000365001072466746
"PAQBIN",0.477493254087423,0.372483767840836,0.610871547794911,4.56626329242125e-09
"ALQBIN",1.02600051886316,0.719347278467457,1.49042145791923,0.88991212478675
