"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.466316228497101,0.364259514001924,0.59577395189835,1.2084756654481e-09
"CAFFCATEHigh",1.82452345828288,1.48046017151956,2.23797226292656,1.14264305597497e-08
"CAFFCATELow",0.970583878309535,0.828386875999357,1.13552422602452,0.710447800211627
"CAFFCATEMod",1.11133075053548,0.975629389490309,1.26676659304906,0.112993214141759
"RIDAGEYR",0.991823897969808,0.988760449759027,0.994884246467406,1.85964989483866e-07
"GENDRM",0.552289610360534,0.493644649754557,0.617374499532255,2.30366638622227e-25
"RIDRETH1",1.1179629330503,1.06173522367323,1.17730532498471,2.32727654573755e-05
"INDF",1.00042976887922,0.991034247084513,1.00959290216943,0.928061266180117
"INDH",0.998096704683796,0.988735287985607,1.00749904507228,0.692909960624299
"DMDEDUC2",0.695317968683717,0.66423404613362,0.727650731129768,5.06539948925179e-55
