"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.709638413909692,0.465702440191361,1.07675984940842,0.108552916763783
"CAFFQNTQ2",0.968786680293217,0.74522465284163,1.25905601968753,0.812466637181061
"CAFFQNTQ3",1.16739101290821,0.90690185527727,1.5046066474673,0.230377658308098
"CAFFQNTQ4",1.49336470051926,1.16388719893413,1.9202551159305,0.00167767548426666
"RIDAGEYR",0.987344701129331,0.982265553879064,0.992414158123144,1.18178502685382e-06
"GENDRM",0.502871356255526,0.418473129945085,0.602815106558698,1.51175072740326e-13
"RIDRETH1",1.11119498439275,1.02093310892192,1.20992057921448,0.0149210736894033
"INDF",1.00847744513707,0.994931434479808,1.02046907473713,0.183292239829515
"INDH",0.992983362149282,0.980203791846116,1.00730399225501,0.304077364428334
"DMDEDUC2",0.665024462577066,0.617121638165784,0.715958775012137,4.90078264629224e-27
