"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.466073799494946,0.361833210499331,0.599103895185001,2.93143106075354e-09
"CAFFQNTQ2",0.988230023590165,0.844643331955171,1.15617302603993,0.882438650991415
"CAFFQNTQ3",1.1000856581065,0.941878400011712,1.28511957256341,0.228690219504966
"CAFFQNTQ4",1.34660486935643,1.15507245701428,1.57077306255694,0.000147119626107892
"RIDAGEYR",0.991557726635502,0.988498411623489,0.994613387395303,7.06208092781234e-08
"GENDRM",0.553787837303656,0.495020260383047,0.619007282145124,3.53791677512102e-25
"RIDRETH1",1.1210086669521,1.06467678028329,1.1804606134405,1.43822661258771e-05
"INDF",1.00053161797099,0.991126092956242,1.0096965569319,0.911131462940165
"INDH",0.997956089144429,0.988589581886636,1.00737069947404,0.671824764986406
"DMDEDUC2",0.693128310130394,0.662110998518208,0.725392308325374,7.70841764543547e-56
