"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.896588704308196,0.528510222839603,1.51271417707567,0.683955604281803
"CyQNT1Q2",1.12175271137718,0.863544625718895,1.46604752458193,0.394320281624472
"CyQNT1Q3",1.15486210820733,0.872254604358812,1.53526249170144,0.317630539936209
"CyQNT1Q4",1.3046749722033,0.97718104196524,1.74861224673252,0.0729162462980097
"RIDAGEYR",0.988344845202222,0.983160030676524,0.993521196925718,1.1592616359487e-05
"GENDRM",0.48916105961535,0.404602267186067,0.590015617573986,1.05681300370658e-13
"RIDRETH1",1.06110764861672,0.974123718374672,1.15590220579349,0.174052513250102
"INDF",0.99385983715132,0.981333009223206,1.00694858784725,0.350982737578762
"INDH",1.00189099879238,0.988929465831516,1.01374144571991,0.765567317208639
"DMDEDUC2",0.744341266167624,0.689646830748322,0.80288690987473,2.63995443257528e-14
"SMQ020",0.538384503683684,0.441927191607308,0.654627747135458,6.41740349625054e-10
"PAQBIN",0.945999393819756,0.784064348215232,1.13940859387938,0.56026096863415
"ALQBIN",0.873804560887115,0.663828557895827,1.16070172431165,0.343430408966338
