"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.827841707900999,0.600627856008802,1.13840362365903,0.24667531614337
"CyQNT1Q2",1.04336601290546,0.888160181069859,1.2280891517682,0.607455734917179
"CyQNT1Q3",1.0212687155802,0.85986363150725,1.21447112756183,0.811091419441488
"CyQNT1Q4",1.17831648440839,0.986050725246098,1.40970406110687,0.071827294491172
"RIDAGEYR",0.989286092879787,0.986123700022664,0.992444794883159,3.86360450698826e-11
"GENDRM",0.516537691963991,0.459232219734934,0.580504466872968,2.13709104094959e-28
"RIDRETH1",1.09151977808774,1.03533170362017,1.15087152155033,0.00117445909080911
"INDF",1.00103351687074,0.991739065972502,1.0101461446572,0.826421911847766
"INDH",0.997941891948898,0.988651719188872,1.00724496472283,0.666117644212323
"DMDEDUC2",0.719198881713373,0.685979664395198,0.753815729763549,9.67688301915897e-43
"SMQ020",0.540573732495386,0.478210604327619,0.610602717372107,5.73825505525128e-23
"PAQBIN",0.702055157449538,0.62526338659497,0.787726388266406,1.91907435624097e-09
"ALQBIN",0.995098240030798,0.840796870720177,1.18204881197927,0.954889419421449
