"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.396260278154087,0.208674439815111,0.742028231601313,0.00420269591050169
"CyQNTMQ2",1.01014291363136,0.721667130523534,1.41486795777553,0.953064463716785
"CyQNTMQ3",0.836939325679217,0.593454445057429,1.18036873170822,0.309417343105028
"CyQNTMQ4",0.90283691048428,0.638469354239705,1.27908748790441,0.563626642487967
"RIDAGEYR",0.994770860105074,0.988316983718097,1.00119166714723,0.112068846951574
"GENDRM",0.638154620271021,0.497203437429633,0.816876298323387,0.000385975211028659
"RIDRETH1",1.15301409228057,1.03148337486795,1.28982456487626,0.0124701277899109
"INDF",0.980942689048582,0.958238873922433,1.01005513180283,0.128392718045716
"INDH",1.01119329369031,0.983444681034539,1.03111958096131,0.322925882609175
"DMDEDUC2",0.781120837242182,0.702702598131514,0.867742294432945,4.37479998623811e-06
"SMQ020",0.6013548548185,0.462784290346185,0.778849933999167,0.000126656303214089
"PAQBIN",0.472785408052205,0.36887144198897,0.604736375309409,2.76460850189429e-09
"ALQBIN",1.04130192383732,0.730053130347367,1.51268462060503,0.827253104835424
